Key,Desc,Default,English
"Strength of the reflectiveness of the object. Higher = Shiny, Lower = Matte.",,"Strength of the reflectiveness of the object. Higher = Shiny, Lower = Matte.","Strength of the reflectiveness of the object. Higher = Shiny, Lower = Matte."
Stretch to Aspect Ratio,,Stretch to Aspect Ratio,Stretch to Aspect Ratio
Style,,Style,Style
Suns,,Suns,Suns
Suns Coin 2,,Suns Coin 2,Suns Coin 2
Suns Coin 3,,Suns Coin 3,Suns Coin 3
Suns Coin 4,,Suns Coin 4,Suns Coin 4
Suns Coin 5,,Suns Coin 5,Suns Coin 5
Suns Coin Ace,,Suns Coin Ace,Suns Coin Ace
Suns Coin Blank,,Suns Coin Blank,Suns Coin Blank
Suns Dice,,Suns Dice,Suns Dice
Suns Square 2,,Suns Square 2,Suns Square 2
Suns Square 3,,Suns Square 3,Suns Square 3
Suns Square 4,,Suns Square 4,Suns Square 4
Suns Square 5,,Suns Square 5,Suns Square 5
Suns Square Ace,,Suns Square Ace,Suns Square Ace
Suns Square Blank,,Suns Square Blank,Suns Square Blank
Sunset,,Sunset,Sunset
Sync Axis,,Sync Axis,Sync Axis
System,,System,System
System Console,,System Console,System Console
TABLES,,Tables,Tables
TEAMS,,Teams,Teams
TEXT_ALIGNMENT,,Text Alignment,Text Alignment
TIPS & HINTS,,Tips & Hints,Tips & Hints
TRANSFORM,,Transform,Transform
TTS-PaperUI-Atlas,,TTS-PaperUI-Atlas,TTS-PaperUI-Atlas
Tab,,Tab,Tab
Tab1,,Tab1,Tab1
Table,,Table,Table
Table Flip,,Table Flip,Table Flip
"Tables are where you play games, just like in real life. The smallest table is the square table which sits a max of 4 players. The hexagon table seats a max of 6 players. The custom rectangle table seats 10 players and all other tables hold a max of 8 players. Seats can be customized using the ""Hands Zone Tool"".",,"Tables are where you play games, just like in real life. The smallest table is the square table which sits a max of 4 players. The hexagon table seats a max of 6 players. The custom rectangle table seats 10 players and all other tables hold a max of 8 players. Seats can be customized using the ""Hands Zone Tool"".","Tables are where you play games, just like in real life. The smallest table is the square table which sits a max of 4 players. The hexagon table seats a max of 6 players. The custom rectangle table seats 10 players and all other tables hold a max of 8 players. Seats can be customized using the ""Hands Zone Tool""."
"Tables are where you play games, just like in real life. The smallest table is the square table which sits a max of 4 players. The hexagon table seats a max of 6 players. The custom rectangle table seats 10 players and all other tables hold a max of 8 players. Seats can be customized using the Hands Zone Tool .",,"Tables are where you play games, just like in real life. The smallest table is the square table which sits a max of 4 players. The hexagon table seats a max of 6 players. The custom rectangle table seats 10 players and all other tables hold a max of 8 players.
 Seats can be customized using the ""Hands Zone Tool"". 
  <Click to open page to knowledge base.>","Tables are where you play games, just like in real life. The smallest table is the square table which sits a max of 4 players. The hexagon table seats a max of 6 players. The custom rectangle table seats 10 players and all other tables hold a max of 8 players.
 Seats can be customized using the ""Hands Zone Tool"". 
  <Click to open page to knowledge base.>"
Tablet,,Tablet,Tablet
Tabletop Simulator VR Beta,,Tabletop Simulator VR Beta,Tabletop Simulator VR Beta
Tags,,Tags,Tags
"Tags can be used to refine whether components interact with certain game systems (for example, Snap Points). Once you have defined a tag here it becomes available to use in those areas.",,"Tags can be used to refine whether components interact with certain game systems (for example, Snap Points). Once you have defined a tag here it becomes available to use in those areas.","Tags can be used to refine whether components interact with certain game systems (for example, Snap Points). Once you have defined a tag here it becomes available to use in those areas."
Tags change how components interact with game systems. If a system has any tags set then only components which have a matching tag will interact with it.,,Tags change how components interact with game systems. If a system has any tags set then only components which have a matching tag will interact with it.,Tags change how components interact with game systems. If a system has any tags set then only components which have a matching tag will interact with it.
Takes effect when playing,,Takes effect when playing,Takes effect when playing
Taking Item Closes Search,,Taking Item Closes Search,Taking Item Closes Search
Talk to other people via voice.,,Talk to other people via voice.,Talk to other people via voice.
Tap,,Tap,Tap
Tap to bring out the Ping Arrow to point where something should go. Hold and drag your mouse to use the Line Tool.,,Tap to bring out the Ping Arrow to point where something should go. Hold and drag your mouse to use the Line Tool.,Tap to bring out the Ping Arrow to point where something should go. Hold and drag your mouse to use the Line Tool.
Teal,,Teal,Teal
Team,,Team,Team
Team Voice Chat,,Team Voice Chat,Team Voice Chat
Templates,,Templates,Templates
Text,,Text,Text
Text Chat,,Text Chat,Text Chat
The Cloud Manager is the location of files you have uploaded to the Cloud. Click on a file to copy the link URL. Click the triple dot icon for more options. You can also import files into the cloud by clicking the file icon on the top left.,,The Cloud Manager is the location of files you have uploaded to the Cloud. Click on a file to copy the link URL. Click the triple dot icon for more options. You can also import files into the cloud by clicking the file icon on the top left.,The Cloud Manager is the location of files you have uploaded to the Cloud. Click on a file to copy the link URL. Click the triple dot icon for more options. You can also import files into the cloud by clicking the file icon on the top left.
The Complexity of the game you are playing (Used to search for games).,,The Complexity of the game you are playing (Used to search for games).,The Complexity of the game you are playing (Used to search for games).
The Contextual Menu brings up a menu with many different and varying options depending on the object you clicked on.,,The Contextual Menu brings up a menu with many different and varying options depending on the object you clicked on.,The Contextual Menu brings up a menu with many different and varying options depending on the object you clicked on.
The Direction of the axis around which the body is constrained.,,The Direction of the axis around which the body is constrained.,The Direction of the axis around which the body is constrained.
The Global Contextual Menu is where you can use the Camera Saves & Blindfold.,,The Global Contextual Menu is where you can use the Camera Saves & Blindfold.,The Global Contextual Menu is where you can use the Camera Saves & Blindfold.
"The Objects menu is where you can spawn all the different kinds of Objects in the games like Components, Tables, Backgrounds, and Saved Objects.",,"The Objects menu is where you can spawn all the different kinds of Objects in the games like Components, Tables, Backgrounds, and Saved Objects.","The Objects menu is where you can spawn all the different kinds of Objects in the games like Components, Tables, Backgrounds, and Saved Objects."
The Position of the anchor around which the joints motion is constrained.,,The Position of the anchor around which the joints motion is constrained.,The Position of the anchor around which the joints motion is constrained.
"The back deck image. Upload your image to a web host, then copy paste the direct link here.",,"The back deck image. Upload your image to a web host, then copy paste the direct link here.","The back deck image. Upload your image to a web host, then copy paste the direct link here."
"The backgrounds not only provide the backdrop while you re playing, but are the main light sources. Custom backgrounds will give you different scenes, but you can only choose one of the included light effects.",,"The backgrounds not only provide the backdrop while you re playing, but are the main light sources. Custom backgrounds will give you different scenes, but you can only choose one of the included light effects.","The backgrounds not only provide the backdrop while you re playing, but are the main light sources. Custom backgrounds will give you different scenes, but you can only choose one of the included light effects."
"The combine tool is a tool where you can link objects together. To unlink objects, click on the original combined object and link to nothing. The combine tool is great for making dials, wheels, roulette tables and even just sticking objects together.",,"The combine tool is a tool where you can link objects together. To unlink objects, click on the original combined object and link to nothing. The combine tool is great for making dials, wheels, roulette tables and even just sticking objects together.","The combine tool is a tool where you can link objects together. To unlink objects, click on the original combined object and link to nothing. The combine tool is great for making dials, wheels, roulette tables and even just sticking objects together."
The components menu is where you can spawn basic objects. You can click to spawn or drag and drop.,,The components menu is where you can spawn basic objects. You can click to spawn or drag and drop.,The components menu is where you can spawn basic objects. You can click to spawn or drag and drop.
The damper force used to dampen the spring force.,,The damper force used to dampen the spring force.,The damper force used to dampen the spring force.
The force that needs to be applied for this joint to break.,,The force that needs to be applied for this joint to break.,The force that needs to be applied for this joint to break.
"The friction used when already moving. Usually a value from 0 to 1. A value of zero feels like ice, a value of 1 will make it come to rest very quickly unless a lot of force or gravity pushes the object.",,"The friction used when already moving. Usually a value from 0 to 1. A value of zero feels like ice, a value of 1 will make it come to rest very quickly unless a lot of force or gravity pushes the object.","The friction used when already moving. Usually a value from 0 to 1. A value of zero feels like ice, a value of 1 will make it come to rest very quickly unless a lot of force or gravity pushes the object."
"The friction used when an object is laying still on a surface. Usually a value from 0 to 1. A value of zero feels like ice, a value of 1 will make it very hard to get the object moving.",,"The friction used when an object is laying still on a surface. Usually a value from 0 to 1. A value of zero feels like ice, a value of 1 will make it very hard to get the object moving.","The friction used when an object is laying still on a surface. Usually a value from 0 to 1. A value of zero feels like ice, a value of 1 will make it very hard to get the object moving."
The global chat is moderated to keep it family friendly. You can read the full list of rules on our website.,,The global chat is moderated to keep it family friendly. You can read the full list of rules on our website.,The global chat is moderated to keep it family friendly. You can read the full list of rules on our website.
"The grid can be used when you need to have proper placement in your games. You can choose from either a box or hex grid, enable object snapping, change the size and shape of the grid, and also change the position of the grid.",,"The grid can be used when you need to have proper placement in your games. You can choose from either a box or hex grid, enable object snapping, change the size and shape of the grid, and also change the position of the grid.","The grid can be used when you need to have proper placement in your games. You can choose from either a box or hex grid, enable object snapping, change the size and shape of the grid, and also change the position of the grid."
The grid will be projected onto the surface of the table or any object that has grid projection turned on in it's toggle menu.,,The grid will be projected onto the surface of the table or any object that has grid projection turned on in it's toggle menu.,The grid will be projected onto the surface of the table or any object that has grid projection turned on in it's toggle menu.
