Key,Desc,Default,Chinese (Traditional)
Stats Monitor,,Stats Monitor,狀態監視器
Steam ID,,Steam ID,Steam ID
Sticky,,Sticky,黏性
Sticky Cards,,Sticky Cards,黏性卡片
Sticky Grab,,Sticky Grab,黏性拿取
StickyCardsTooltip,,"When picked up, cards above the grabbed card will also be lifted.",撿起卡片時，其上方的卡片也會被撿起。
Stop Looking For Players,,Stop Looking For Players,停止搜尋玩家
Stop Search,,Stop Search,停止搜尋
Stop showing hand.,,Stop showing hand.,停止展示手牌區
Stopwatch,,Stopwatch,計時器
Store,,Store,儲存
Store mod data on disk to speed up mod loading.,,Store mod data on disk to speed up mod loading.,在硬碟中儲存模組資料以提昇模組載入速度。
Straighten self upright when picked up.,,Straighten self upright when picked up.,拿取時重新整理為垂直方向。
Strategy Games,,Strategy Games,策略遊戲
"Strength of the reflectiveness of the object. Higher = Shiny, Lower = Matte.",,"Strength of the reflectiveness of the object. Higher = Shiny, Lower = Matte.",物件的反射強度。較高代表有光澤，較低代表無光澤。
Stretch to Aspect Ratio,,Stretch to Aspect Ratio,維持長寬比
Style,,Style,風格
Suns,,Suns,太陽
Suns Coin 2,,Suns Coin 2,太陽硬幣 2
Suns Coin 3,,Suns Coin 3,太陽硬幣 3
Suns Coin 4,,Suns Coin 4,太陽硬幣 4
Suns Coin 5,,Suns Coin 5,太陽硬幣 5
Suns Coin Ace,,Suns Coin Ace,太陽硬幣 A
Suns Coin Blank,,Suns Coin Blank,太陽硬幣 空白
Suns Dice,,Suns Dice,太陽骰子
Suns Square 2,,Suns Square 2,太陽方塊 2
Suns Square 3,,Suns Square 3,太陽方塊 3
Suns Square 4,,Suns Square 4,太陽方塊 4
Suns Square 5,,Suns Square 5,太陽方塊 5
Suns Square Ace,,Suns Square Ace,太陽方塊 A
Suns Square Blank,,Suns Square Blank,太陽方塊 空白
Sunset,,Sunset,日落
Sync Axis,,Sync Axis,同步參考軸線
System,,System,系統
System Console,,System Console,系統控制台
TABLES,,Tables,桌子
TEAMS,,Teams,小組
TIPS & HINTS,,Tips & Hints,提示與技巧
TRANSFORM,,Transform,坐標調整工具
TTS-PaperUI-Atlas,,TTS-PaperUI-Atlas,TTS-PaperUI-Atlas
Tab,,Tab,Tab
Tab1,,Tab1,Tab1
Table,,Table,桌子
Table Flip,,Table Flip,翻桌
"Tables are where you play games, just like in real life. The smallest table is the square table which sits a max of 4 players. The hexagon table seats a max of 6 players. The custom rectangle table seats 10 players and all other tables hold a max of 8 pla","Tables are where you play games, just like in real life. The smallest table is the square table which sits a max of 4 players. The hexagon table seats a max of 6 players. The custom rectangle table seats 10 players and all other tables hold a max of 8 players. Seats can be customized using the ""Hands Zone Tool"".",,
"Tables are where you play games, just like in real life. The smallest table is the square table which sits a max of 4 players. The hexagon table seats a max of 6 players. The custom rectangle table seats 10 players and all other tables hold a max of 8 players. Seats can be customized using the ""Hands Zone Tool"".",,"Tables are where you play games, just like in real life. The smallest table is the square table which sits a max of 4 players. The hexagon table seats a max of 6 players. The custom rectangle table seats 10 players and all other tables hold a max of 8 players. Seats can be customized using the ""Hands Zone Tool"".",正如真實生活一樣，桌子就是您遊玩遊戲的地方。最小的是方桌，可容納四位玩家。六角桌則可容納至多六位玩家。自訂的長方桌可容納十位玩家，其他桌子可容納至多八位玩家。座位可使用「手牌區工具」進行自訂。
"Tables are where you play games, just like in real life. The smallest table is the square table which sits a max of 4 players. The hexagon table seats a max of 6 players. The custom rectangle table seats 10 players and all other tables hold a max of 8 players. Seats can be customized using the Hands Zone Tool .",,"Tables are where you play games, just like in real life. The smallest table is the square table which sits a max of 4 players. The hexagon table seats a max of 6 players. The custom rectangle table seats 10 players and all other tables hold a max of 8 players.
 Seats can be customized using the ""Hands Zone Tool"". 
  <Click to open page to knowledge base.>","正如真實生活一樣，桌子就是您遊玩遊戲的地方。最小的是方桌，可容納四位玩家。六角桌則可容納至多六位玩家。自訂的長方桌可容納十位玩家，其他桌子可容納至多八位玩家。
座位可使用「手牌區工具」進行自訂。
　＜點擊開啟官方知識庫頁面。＞"
Tablet,,Tablet,掌上型電腦
Tabletop Simulator VR Beta,,Tabletop Simulator VR Beta,桌遊模擬器 VR 測試版
Tags,,Tags,標籤
"Tags can be used to refine whether components interact with certain game systems (for example, Snap Points). Once you have defined a tag here it becomes available to use in those areas.",,"Tags can be used to refine whether components interact with certain game systems (for example, Snap Points). Once you have defined a tag here it becomes available to use in those areas.",標籤可以用於細分配件與特定遊戲系統的互動（例如吸附點）。一旦建立了標籤，則可以在這些區域使用。
Tags change how components interact with game systems. If a system has any tags set then only components which have a matching tag will interact with it.,,Tags change how components interact with game systems. If a system has any tags set then only components which have a matching tag will interact with it.,標籤更改了配件與遊戲系統的互動。若系統擁有標籤設定，則只有符合標籤的配件可以互動。
Takes effect when playing,,Takes effect when playing,遊玩時生效
Taking Item Closes Search,,Taking Item Closes Search,拿取物品後關閉搜尋
Talk to other people via voice.,,Talk to other people via voice.,透過語音與他人交談。
Tap,,Tap,選單
Tap to bring out the Ping Arrow to point where something should go. Hold and drag your mouse to use the Line Tool.,,Tap to bring out the Ping Arrow to point where something should go. Hold and drag your mouse to use the Line Tool.,按下＜Tab＞使用指示箭頭來提示某一位置。按住＜TAB＞並拖動游標以使用直線工具。
Teal,,Teal,深青色
Team,,Team,小組
Team Voice Chat,,Team Voice Chat,小組語音聊天
Templates,,Templates,範本
Text,,Text,文字
Text Chat,,Text Chat,文字聊天
The Cloud Manager is the location of files you have uploaded to the Cloud. Click on a file to copy the link URL. Click the triple dot icon for more options. You can also import files into the cloud by clicking the file icon on the top left.,,The Cloud Manager is the location of files you have uploaded to the Cloud. Click on a file to copy the link URL. Click the triple dot icon for more options. You can also import files into the cloud by clicking the file icon on the top left.,雲端管理員是您上傳雲端的檔案儲存位置。點擊檔案複製連結。點擊三點圖示查看更多選項。您也可以使用左上方的檔案圖示將檔案匯入雲端。
The Complexity of the game you are playing (Used to search for games).,,The Complexity of the game you are playing (Used to search for games).,目前遊戲的難度（用於搜尋遊戲）。
The Contextual Menu brings up a menu with many different and varying options depending on the object you clicked on.,,The Contextual Menu brings up a menu with many different and varying options depending on the object you clicked on.,環境選單是根據物件提供大量不同選項的選單。
The Direction of the axis around which the body is constrained.,,The Direction of the axis around which the body is constrained.,物體圍繞的參考軸線方向。
The Global Contextual Menu is where you can use the Camera Saves & Blindfold.,,The Global Contextual Menu is where you can use the Camera Saves & Blindfold.,全域環境選單可以使用鏡頭儲存和蒙眼布。
"The Objects menu is where you can spawn all the different kinds of Objects in the games like Components, Tables, Backgrounds, and Saved Objects.",,"The Objects menu is where you can spawn all the different kinds of Objects in the games like Components, Tables, Backgrounds, and Saved Objects.",物件選單可以生成遊戲中所有不同種類的物件，例如配件、桌子、背景、儲存物件。
The Position of the anchor around which the joints motion is constrained.,,The Position of the anchor around which the joints motion is constrained.,節點移動圍繞的錨點位置。
"The back deck image. Upload your image to a web host, then copy paste the direct link here.",,"The back deck image. Upload your image to a web host, then copy paste the direct link here.",卡背圖案。上傳圖片至網頁代管，然後將連結在此處複製貼上。
"The backgrounds not only provide the backdrop while you re playing, but are the main light sources. Custom backgrounds will give you different scenes, but you can only choose one of the included light effects.",,"The backgrounds not only provide the backdrop while you re playing, but are the main light sources. Custom backgrounds will give you different scenes, but you can only choose one of the included light effects.",背景不僅在遊玩時提供場景襯托，同時也是主要的光線來源。自訂背景可以帶來不同的場景效果，但您只能選擇其中一種內建的光效。
"The combine tool is a tool where you can link objects together. To unlink objects, click on the original combined object and link to nothing. The combine tool is great for making dials, wheels, roulette tables and even just sticking objects together.",,"The combine tool is a tool where you can link objects together. To unlink objects, click on the original combined object and link to nothing. The combine tool is great for making dials, wheels, roulette tables and even just sticking objects together.",組合工具可以將物件連結在一起。若要取消連結，請點擊已組合的原始物件，並連結至空白處。組合工具非常適合製作錶盤、車輪、輪盤桌，或者只是簡單地將物件固定在一起。
The components menu is where you can spawn basic objects. You can click to spawn or drag and drop.,,The components menu is where you can spawn basic objects. You can click to spawn or drag and drop.,配件選單可以生成基本物件。您可以點擊生成或拖放。
The damper force used to dampen the spring force.,,The damper force used to dampen the spring force.,設定降低彈力的阻尼力。
The force that needs to be applied for this joint to break.,,The force that needs to be applied for this joint to break.,斷開節點所需的力。
"The friction used when already moving. Usually a value from 0 to 1. A value of zero feels like ice, a value of 1 will make it come to rest very quickly unless a lot of force or gravity pushes the object.",,"The friction used when already moving. Usually a value from 0 to 1. A value of zero feels like ice, a value of 1 will make it come to rest very quickly unless a lot of force or gravity pushes the object.",正在移動時的摩擦力。一般數值設為 0 與 1 之間。數值為 0 時，像冰一樣；數值為 1 時，沒有大量的力或是重力推動物體，物體會很快靜止。
"The friction used when an object is laying still on a surface. Usually a value from 0 to 1. A value of zero feels like ice, a value of 1 will make it very hard to get the object moving.",,"The friction used when an object is laying still on a surface. Usually a value from 0 to 1. A value of zero feels like ice, a value of 1 will make it very hard to get the object moving.",靜止不動時的摩擦力。一般數值設為 0 與 1 之間。數值為 0 時，像冰一樣；數值為 1 時，很難使物體運動起來。
The global chat is moderated to keep it family friendly. You can read the full list of rules on our website.,,The global chat is moderated to keep it family friendly. You can read the full list of rules on our website.,全域聊天擁有審查標準以維持大家庭和諧有愛。您可以在我們的網站上閱讀完整的規則。
"The grid can be used when you need to have proper placement in your games. You can choose from either a box or hex grid, enable object snapping, change the size and shape of the grid, and also change the position of the grid.",,"The grid can be used when you need to have proper placement in your games. You can choose from either a box or hex grid, enable object snapping, change the size and shape of the grid, and also change the position of the grid.",網格可用於遊戲內規則的放置物件。您可以選用方形或是六邊形，啟用物件吸附，更改尺寸以及網格形狀，同時也可以更改網格位置。
The grid will be projected onto the surface of the table or any object that has grid projection turned on in it's toggle menu.,,The grid will be projected onto the surface of the table or any object that has grid projection turned on in it's toggle menu.,網格將投射在桌子表面或任何已開啟網格投射的物件。
"The line tool can be used for basic measuring, or click it to ping the area. You may hold the line tool key (default: TAB) to activate this while in other modes. Doing so while holding an object will measure from the pickup point (Auto mode only).",,"The line tool can be used for basic measuring, or click it to ping the area. You may hold the line tool key (default: TAB) to activate this while in other modes. Doing so while holding an object will measure from the pickup point (Auto mode only).",直線工具可用於基本測量，或是點擊它來提示某一區域。您可以按住直線工具快速鍵（預設：TAB 鍵）來在其他模式中啟用此動作。例如在拿取物件時會測量從起點起的長度（僅限自動模式）。
